name,description
111年1月31日至111年2月6日資料.ods,111年1月31日至111年2月6日資料
111年2月7日至111年2月13日資料.ods,111年2月7日至111年2月13日資料
111年2月14日至111年2月20日資料.ods,111年2月14日至111年2月20日資料
111年2月21日至111年2月27日資料.ods,111年2月21日至111年2月27日資料
111年2月28日至111年3月6日資料.ods,111年2月28日至111年3月6日資料
111年3月7日至111年3月13日資料.ods,111年3月7日至111年3月13日資料
111年3月14日至111年3月20日資料.ods,111年3月14日至111年3月20日資料
111年3月21日至111年3月27日資料.ods,111年3月21日至111年3月27日資料
111年3月28日至111年4月3日資料.ods,111年3月28日至111年4月3日資料
111年4月4日至111年4月10日資料.ods,111年4月4日至111年4月10日資料
111年4月11日至111年4月17日資料.ods,111年4月11日至111年4月17日資料
111年4月18日至111年4月24日資料.ods,111年4月18日至111年4月24日資料
111年4月25日至111年5月1日資料.ods,111年4月25日至111年5月1日資料
111年5月2日至111年5月8日資料.ods,111年5月2日至111年5月8日資料
111年5月9日至111年5月15日資料.ods,111年5月9日至111年5月15日資料
111年5月16日至111年5月22日資料.ods,111年5月16日至111年5月22日資料
111年5月23日至111年5月29日資料.ods,111年5月23日至111年5月29日資料
111年5月30日至111年6月5日資料.ods,111年5月30日至111年6月5日資料
111年6月6日至111年6月12日資料.ods,111年6月6日至111年6月12日資料
111年6月13日至111年6月19日資料.ods,111年6月13日至111年6月19日資料
111年6月20日至111年6月26日資料.ods,111年6月20日至111年6月26日資料
111年6月27日至111年7月3日資料.ods,111年6月27日至111年7月3日資料
111年7月4日至111年7月10日資料.ods,111年7月4日至111年7月10日資料
111年7月11日至111年7月17日資料.ods,111年7月11日至111年7月17日資料
111年7月18日至111年7月24日資料.ods,111年7月18日至111年7月24日資料
111年7月25日至111年7月31日資料.ods,111年7月25日至111年7月31日資料
111年8月1日至111年8月7日資料.ods,111年8月1日至111年8月7日資料
111年8月8日至111年8月14日資料.ods,111年8月8日至111年8月14日資料
111年8月15日至111年8月21日資料.ods,111年8月15日至111年8月21日資料
111年8月22日至111年8月28日資料.ods,111年8月22日至111年8月28日資料
111年8月29日至111年9月4日資料.ods,111年8月29日至111年9月4日資料
111年9月5日至111年9月11日資料.ods,111年9月5日至111年9月11日資料
111年9月12日至111年9月18日資料.ods,111年9月12日至111年9月18日資料
111年9月19日至111年9月25日資料.ods,111年9月19日至111年9月25日資料
111年9月26日至111年10月2日資料.ods,111年9月26日至111年10月2日資料
111年10月3日至111年10月9日資料.ods,111年10月3日至111年10月9日資料
111年10月10日至111年10月16日資料.ods,111年10月10日至111年10月16日資料
111年10月17日至111年10月23日資料.ods,111年10月17日至111年10月23日資料
111年10月24日至111年10月30日資料.ods,111年10月24日至111年10月30日資料
111年10月31日至111年11月6日資料.ods,111年10月31日至111年11月6日資料
111年11月7日至111年11月13日資料.ods,111年11月7日至111年11月13日資料
111年11月14日至111年11月20日資料.ods,111年11月24日至111年11月20日資料
111年11月21日至111年11月27日資料.ods,111年11月21日至111年11月27日資料
111年11月28日至111年12月4日資料.ods,111年11月28日至111年12月4日資料
111年12月5日至111年12月11日資料.ods,111年12月5日至111年12月11日資料
111年12月12日至111年12月18日資料.ods,111年12月12日至111年12月18日資料
111年12月19日至111年12月25日資料.ods,111年12月19日至111年12月25日資料
111年12月26日至112年1月1日資料.ods,111年12月26日至112年1月1日資料
112年1月2日至112年1月8日資料.ods,112年1月2日至112年1月8日資料
112年1月9日至112年1月15日資料.ods,112年1月9日至112年1月15日資料
112年1月23日至112年1月29日資料.ods,112年1月23日至112年1月29日資料
112年1月30日至112年2月5日資料.ods,112年1月30日至112年2月5日資料
112年2月6日至112年2月12日資料.ods,112年2月6日至112年2月12日資料
112年2月13日至112年2月19日資料.ods,112年2月13日至112年2月19日資料
112年2月20日至112年2月26日資料.ods,112年2月20日至112年2月26日資料
112年2月27日至112年3月5日資料.ods,112年2月27日至112年3月5日資料
112年3月6日至112年3月12日資料.ods,112年3月6日至112年3月12日資料
112年3月13日至112年3月19日資料.ods,112年3月13日至112年3月19日資料
112年3月20日至112年3月26日資料.ods,112年3月20日至112年3月26日資料
112年3月27日至112年4月2日資料.ods,112年3月27日至112年4月2日資料
112年4月3日至112年4月9日資料.ods,112年4月3日至112年4月9日資料
112年4月10日至112年4月16日資料.ods,112年4月10日至112年4月16日資料
112年4月17日至112年4月23日資料.ods,112年4月17日至112年4月23日資料
112年4月24日至112年5月1日資料.ods,112年4月24日至112年5月1日資料
112年5月2日至112年5月7日資料.ods,112年5月2日至112年5月7日資料
112年5月8日至112年5月14日資料.ods,112年5月8日至112年5月14日資料
112年5月15日至112年5月21日資料.ods,112年5月15日至112年5月21日資料
112年5月22日至112年5月28日資料.ods,112年5月22日至112年5月28日資料
112年5月29日至112年6月4日資料.ods,112年5月29日至112年6月4日資料
112年6月5日至112年6月11日資料.ods,112年6月5日至112年6月11日資料
112年6月12日至112年6月18日資料.ods,112年6月12日至112年6月18日資料
112年6月19日至112年6月25日資料.ods,112年6月19日至112年6月25日資料
112年6月26日至112年7月2日資料.ods,112年6月26日至112年7月2日資料
112年7月3日至112年7月9日資料.ods,112年7月3日至112年7月9日資料
112年7月10日至112年7月16日資料.ods,112年7月10日至112年7月16日資料
112年7月17日至112年7月23日資料.ods,112年7月17日至112年7月23日資料
112年7月24日至112年7月30日資料.ods,112年7月24日至112年7月30日資料
112年7月31日至112年8月6日資料.ods,112年7月31日至112年8月6日資料
112年8月7日至112年8月13日資料.ods,112年8月7日至112年8月13日資料
112年8月14日至112年8月20日資料.ods,112年8月14日至112年8月20日資料
112年8月21日至112年8月27日資料.ods,112年8月21日至112年8月27日資料
112年8月28日至112年9月3日資料.ods,112年8月28日至112年9月3日資料
112年9月4日至112年9月10日資料.ods,112年9月4日至112年9月10日資料
112年9月11日至112年9月17日資料.ods,112年9月11日至112年9月17日資料
112年9月18日至112年9月24日資料.ods,112年9月18日至112年9月24日資料
112年9月25日至112年10月1日資料.ods,112年9月25日至112年10月1日資料
112年10月2日至112年10月8日資料.ods,112年10月2日至112年10月8日資料
112年10月9日至112年10月15日資料.ods,112年10月9日至112年10月15日資料
112年10月16日至112年10月22日資料.ods,112年10月16日至112年10月22日資料
112年10月23日至112年10月29日資料.ods,112年10月23日至112年10月29日資料
112年10月30日至112年11月5日資料.ods,112年10月30日至112年11月5日資料
112年11月6日至112年11月12日資料.ods,112年11月6日至112年11月12日資料
112年11月13日至112年11月19日資料.ods,112年11月13日至112年11月19日資料
112年11月20日至112年11月26日資料.ods,112年11月20日至112年11月26日資料
112年11月27日至112年12月3日資料.ods,112年11月27日至112年12月3日資料
112年12月4日至112年12月10日資料.ods,112年12月4日至112年12月10日資料
112年12月11日至112年12月17日資料.ods,112年12月11日至112年12月17日資料
112年12月18日至112年12月24日資料.ods,112年12月18日至112年12月24日資料
112年12月25日至112年12月31日資料.ods,112年12月25日至112年12月31日資料
113年1月1日至113年1月7日資料.ods,113年1月1日至113年1月7日資料
113年1月8日至113年1月14日資料.ods,113年1月8日至113年1月14日資料
113年1月15日至113年1月21日資料.ods,113年1月15日至113年1月21日資料
113年1月22日至113年1月28日資料.ods,113年1月22日至113年1月28日資料
113年1月29日至113年2月4日資料.ods,113年1月29日至113年2月4日資料
113年2月5日至113年2月11日資料.ods,113年2月5日至113年2月11日資料
113年2月12日至113年2月18日資料.ods,113年2月12日至113年2月18日資料
113年2月19日至113年2月25日資料.ods,113年2月19日至113年2月25日資料
113年2月26日至113年3月3日資料.ods,113年2月26日至113年3月3日資料
113年3月4日至113年3月10日資料.ods,113年3月4日至113年3月10日資料
113年3月11日至113年3月17日資料.ods,113年3月11日至113年3月17日資料
113年3月18日至113年3月24日資料.ods,113年3月18日至113年3月24日資料
113年3月25日至113年3月31日資料.ods,113年3月25日至113年3月31日資料
113年4月1日至113年4月7日資料.ods,113年4月1日至113年4月7日資料
113年4月8日至113年4月14日資料.ods,113年4月8日至113年4月14日資料
113年4月15日至113年4月21日資料.ods,113年4月15日至113年4月21日資料
113年4月22日至113年4月28日資料.ods,113年4月22日至113年4月28日資料
113年4月29日至113年5月5日資料.ods,113年4月29日至113年5月5日資料
113年5月6日至113年5月12日資料.ods,113年5月6日至113年5月12日資料
113年5月20日至113年5月26日資料.ods,113年5月20日至113年5月26日資料
113年5月27日至113年6月2日資料.ods,113年5月27日至113年6月2日資料
113年6月3日至113年6月9日資料.ods,113年6月3日至113年6月9日資料
113年6月10日至113年6月16日資料.ods,113年6月10日至113年6月16日資料
113年6月17日至113年6月23日資料.ods,113年6月17日至113年6月23日資料
